Attack,Strength,Robust_Acc,Robust_F1,ASR,Relative_Drop,ECE
dummy,0.4,73.21,79.00,2.41,2.10,1.27
dummy,0.7,70.74,76.54,5.89,5.40,2.53
dummy,1.0,65.96,71.74,12.56,11.79,4.27
mixed,0.4,73.15,78.92,2.56,2.19,1.41
mixed,0.7,70.78,76.50,5.84,5.35,2.50
mixed,1.0,66.09,71.95,12.33,11.63,3.82
adaptive,0.4,70.80,76.71,5.61,5.32,2.12
adaptive,0.7,66.02,72.50,12.25,11.71,3.03
adaptive,1.0,60.73,67.87,19.77,18.79,3.75
