Attack,Strength,Robust_Acc,Robust_F1,ASR,Relative_Drop,ECE
dummy,0.4,98.19,86.68,0.61,0.54,0.57
dummy,0.7,97.81,85.85,1.03,0.92,0.95
dummy,1.0,96.53,84.15,2.29,2.22,1.59
mixed,0.4,98.34,86.85,0.42,0.38,0.63
mixed,0.7,97.74,85.92,1.11,0.99,0.92
mixed,1.0,97.13,84.39,1.76,1.61,1.33
adaptive,0.4,97.32,85.16,1.45,1.41,1.25
adaptive,0.7,95.74,82.85,3.13,3.02,2.27
adaptive,1.0,91.81,77.63,7.22,7.00,4.85
