Attack,Strength,Robust_Acc,Robust_F1,ASR,Relative_Drop,ECE
dummy,0.4,31.00,34.67,40.76,38.61,25.29
dummy,0.7,26.73,29.44,49.99,47.07,25.84
dummy,1.0,23.34,24.69,56.58,53.78,27.40
mixed,0.4,31.39,35.16,40.16,37.84,24.89
mixed,0.7,26.88,29.55,49.24,46.78,25.83
mixed,1.0,24.02,25.69,55.57,52.43,26.52
adaptive,0.4,45.99,47.79,11.47,8.94,10.90
adaptive,0.7,41.91,43.89,20.82,17.00,14.03
adaptive,1.0,37.87,39.64,29.85,25.02,16.73
