Attack,Strength,Robust_Acc,Robust_F1,ASR,Relative_Drop,ECE
dummy,0.4,88.45,75.90,9.13,8.97,4.21
dummy,0.7,76.94,64.98,20.97,20.82,12.95
dummy,1.0,63.74,53.58,34.68,34.41,23.80
mixed,0.4,88.38,76.04,9.40,9.05,4.11
mixed,0.7,77.25,65.41,20.70,20.50,12.68
mixed,1.0,60.87,51.48,37.55,37.36,26.31
adaptive,0.4,83.21,70.88,14.87,14.37,8.63
adaptive,0.7,70.94,58.33,27.46,26.99,19.55
adaptive,1.0,57.40,44.23,41.28,40.93,32.35
